,titles,area,city,company,job_type,career_level,experience_needed,skills_and_tools,urls
101,"Full Stack Developer (.NET core , Angular)",Nasr City,Cairo,Smart IT,Full Time,Experienced,5+ Yrs of Exp,Information Technology (IT) | Software Development | Software Engineering | OOP | ASP.NET | C#.Net | ADO.NET | SQL,https://wuzzuf.net/jobs/p/pwS6z1wfqRxA-Full-Stack-Developer-NET-core-Angular-Smart-IT-Cairo-Egypt?o=102&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
102,Head Of Gender Unit,Dokki,Giza,"The Micro, Small & Medium Enterprise Development Agency",Full Time,Senior Management,10 - 15 Yrs of Exp,gender | women | Program Development | socio-economic | empowerment | women support,https://wuzzuf.net/jobs/p/62kQFeFIdHPP-Head-Of-Gender-Unit-The-Micro-Small-Medium-Enterprise-Development-Agency-Giza-Egypt?o=103&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
103,Software Support Engineer,Heliopolis,Cairo,Trufla,Full Time,Experienced,2+ Yrs of Exp,Cloud | Computer Science | Github | IT | Linux | Management | MySQL,https://wuzzuf.net/jobs/p/Fu7wB5gpiChY-Software-Support-Engineer-Trufla-Cairo-Egypt?o=104&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
104,Senior Business Application Support,Giza,Giza,Al Ahly Medical Company,Full Time,Experienced,3+ Yrs of Exp,business | computer | Customer Care | Customer Service | Customer Support | Information Technology (IT) | ERP,https://wuzzuf.net/jobs/p/6fXrDFppbzn6-Senior-Business-Application-Support-Al-Ahly-Medical-Company-Giza-Egypt?o=105&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
105,Senior Full Stack Developer,Cairo,Egypt,Confidential,Full Time | Work From Home,Experienced,4 - 8 Yrs of Exp,.Net | Angular | ASP.Net | Computer Science | Information Technology (IT) | Software Development | JavaScript | RESTful,https://wuzzuf.net/jobs/p/3CBtC6yVK6zR-Senior-Full-Stack-Developer-Cairo-Egypt?o=106&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
106,Senior MS Dynamics CRM Developer,Cairo,Egypt,egabi solutions,Full Time,Experienced,4 - 6 Yrs of Exp,Power Automate | Power BI | Power Apps | Microsoft Dynamics 365 | CRM SDK | plugin | Microsoft SQL Server | Sharepoint,https://wuzzuf.net/jobs/p/23xhh7F3R0Kq-Senior-MS-Dynamics-CRM-Developer-egabi-solutions-Cairo-Egypt?o=107&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
107,Strategic Planning Manger,New Cairo,Cairo,Confidential,Full Time,Manager,6 - 6 Yrs of Exp,Communication | QA | ERP | English | analytical | Quality Assurance | quality,https://wuzzuf.net/jobs/p/9nSOjTS1GbMx-Strategic-Planning-Manger-Cairo-Egypt?o=108&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
108,Pricing Supervisor (Market Research),Maadi,Cairo,Andalusia Group,Full Time,Manager,1 - 3 Yrs of Exp,Pricing | coding | Analysis | Management | Research | Pharmaceutical | Database | Communication,https://wuzzuf.net/jobs/p/QIwAWIPBmg1G-Pricing-Supervisor-Market-Research-Andalusia-Group-Cairo-Egypt?o=109&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
109,Risk Assistant Manager,Sheikh Zayed,Giza,A.T Lease Egypt,Full Time,Experienced,5 - 7 Yrs of Exp,Risk Management | Credit Risk,https://wuzzuf.net/jobs/p/m5YINfN7GjUj-Risk-Assistant-Manager-A-T-Lease-Egypt-Giza-Egypt?o=110&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
110,QC Supervisor,Badr City,Cairo,Hikma Pharmaceuticals,Full Time,Manager,6 - 8 Yrs of Exp,Pharmaceutical | QC | Quality Control | Science | Laboratory | Sterile,https://wuzzuf.net/jobs/p/3DpQBRCY8szV-QC-Supervisor-Hikma-Pharmaceuticals-Cairo-Egypt?o=111&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
111,Internal Auditor,Smouha,Alexandria,A2Z Lingerie,Full Time,Experienced,2 - 5 Yrs of Exp,Accounting | Auditing | Finance | Financial Analysis | Computer Skills | English | Microsoft Office | Commerce,https://wuzzuf.net/jobs/p/mpRnXK3c85F6-Internal-Auditor-A2Z-Lingerie-Alexandria-Egypt?o=112&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
112,Marketing Supervisor,Cairo,Egypt,El Nahar for Medical Solutions,Full Time,Manager,3 - 5 Yrs of Exp,Market Research | Marketing | English | Planning | Creativity,https://wuzzuf.net/jobs/p/fvifGaO9O5Lw-Marketing-Supervisor-El-Nahar-for-Medical-Solutions-Cairo-Egypt?o=113&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
113,Senior Software Developer (.Net Core),New Cairo,Cairo,BI-Technologies,Full Time,Experienced,3 - 7 Yrs of Exp,Information Technology (IT) | Computer Science | Software Engineering | Software Development | ASP.NET | SQL | javaScript | jQuery,https://wuzzuf.net/jobs/p/0iIJnrRIjpAk-Senior-Software-Developer-Net-Core-BI-Technologies-Cairo-Egypt?o=114&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
114,Market Researcher,Cairo,Egypt,Turning Point for Consultancies and Development,Part Time | Freelance / Project,Experienced,5 - 20 Yrs of Exp,Feasibility Studies | Feasibility Study | Market Research | Research | Market Analysis | Analysis | E-Marketing | English,https://wuzzuf.net/jobs/p/cBlCUOF20stp-Market-Researcher-Turning-Point-for-Consultancies-and-Development-Cairo-Egypt?o=115&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
115,Category Manager,Maadi,Cairo,Raya Distribution,Full Time,Manager,5 - 7 Yrs of Exp,Sales Operations | Communication | Category Management | Retail,https://wuzzuf.net/jobs/p/5tT2h1khSQX7-Category-Manager-Raya-Distribution-Cairo-Egypt?o=116&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
116,Senior Internal Auditor,Sheikh Zayed,Giza,Gates Development,Full Time,Experienced,3 - 5 Yrs of Exp,Auditing | Commerce | Finance | Financial Analysis | Accounting | English | Communication | Auditor,https://wuzzuf.net/jobs/p/xqymmgIODlWs-Senior-Internal-Auditor-Gates-Development-Giza-Egypt?o=117&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
117,Senior Financial Planning & Analysis Executive,New Cairo,Cairo,MENASSAT,Full Time,Experienced,5 - 7 Yrs of Exp,Business Analysis | Business Development | English | Presentation Skills | Analysis | Commerce | business | Microsoft Office,https://wuzzuf.net/jobs/p/FCBSY70cjww0-Senior-Financial-Planning-Analysis-Executive-MENASSAT-Cairo-Egypt?o=118&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
118,QA QC Manager,New Capital,Cairo,Confidential,Full Time,Manager,10 - 15 Yrs of Exp,QA | QC | Quality Control | Quality Assurance | Construction | Civil Engineering | Engineering | Architecture,https://wuzzuf.net/jobs/p/WVpxiVfPybki-QA-QC-Manager-Cairo-Egypt?o=119&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
119,Cost Accounting And Analysis Manager,Tanta,Gharbia,Confidential,Full Time,Manager,10 - 12 Yrs of Exp,Financial Analysis | Accounting | Cost Control | Financial Data Analysis | Financial Management | Finance | CMA | English,https://wuzzuf.net/jobs/p/oTUdtQgR4UEj-Cost-Accounting-And-Analysis-Manager-Gharbia-Egypt?o=120&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
120,QSIT -Software Development Team Leader,Mokattam,Cairo,Alkan CIT,Full Time,Manager,8 - 12 Yrs of Exp,Computer Engineering | Computer Science | CSS | esri | GIS | HTML | HTML5 | Information Technology (IT),https://wuzzuf.net/jobs/p/TtvkbOxSJcyK-QSIT--Software-Development-Team-Leader-Alkan-CIT-Cairo-Egypt?o=121&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
121,Full Stack Senior Java Developer (Remotely for USA),Nasr City,Cairo,Mobile Wave 3,Full Time,Experienced,4 - 7 Yrs of Exp,Full Stack | Computer Science | Java | JavaScript | React | CSS | Python | jQuery,https://wuzzuf.net/jobs/p/RvxHh93gyQn7-Full-Stack-Senior-Java-Developer-Remotely-for-USA-Mobile-Wave-3-Cairo-Egypt?o=122&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
122,Senior NET Developer,Nasr City,Cairo,Z2 Data,Full Time,Experienced,4+ Yrs of Exp,Computer Science | Information Technology (IT) | Software Development | .NET | ASP.NET | C# | javaScript | MVC,https://wuzzuf.net/jobs/p/he031i1IbUrh-Senior-NET-Developer-Z2-Data-Cairo-Egypt?o=123&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
123,Senior Software Tester,Maadi,Cairo,Confidential,Full Time,Experienced,5 - 8 Yrs of Exp,Computer Science | Certified Software Tester | Test Design | SQL | Reporting | Software | Testing | Automation,https://wuzzuf.net/jobs/p/ytgR1Q4wGWRs-Senior-Software-Tester-Cairo-Egypt?o=124&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
124,Senior E Commerce Specialist,Sheraton,Cairo,Confidential,Full Time,Experienced,2 - 3 Yrs of Exp,E-Marketing | Marketing | Shopify | Social Media | Design | Web Design | Digital Marketing,https://wuzzuf.net/jobs/p/LcH8XaYuJHVr-Senior-E-Commerce-Specialist-Cairo-Egypt?o=125&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
125,GIS,Zamalek,Cairo,Creditor for financial technology,Full Time,Experienced,3 - 5 Yrs of Exp,mapping | GIS | routes,https://wuzzuf.net/jobs/p/sQXs3y2PlKY2-GIS-Creditor-for-financial-technology-Cairo-Egypt?o=126&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
126,Junior Artificial Intelligence (AI) Engineer,Cairo,Egypt,Limitless Labs,Full Time,Experienced,2+ Yrs of Exp,Machine Learning | Python | Programming Language | Artificial Intelligence (AI) | Computer Science | Statistical computing | Microsoft SQL | Power BI,https://wuzzuf.net/jobs/p/IbmKAU8v81eb-Junior-Artificial-Intelligence-AI-Engineer-Limitless-Labs-Cairo-Egypt?o=127&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
127,Internal Auditor,6th of October,Giza,Ezz El arab,Full Time,Experienced,5+ Yrs of Exp,Auditing standards | Auditing | Computer Skills | Finance | MS Office | Accounting | Compliance Management,https://wuzzuf.net/jobs/p/zI9ByZlqm9CL-Internal-Auditor-Ezz-El-arab-Giza-Egypt?o=128&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
128,Internal Auditor,Heliopolis,Cairo,Life Chemicals Group,Full Time,Experienced,4 - 5 Yrs of Exp,analytical | Auditing | Finance | Accounting | English | Financial Analysis | Computer Skills,https://wuzzuf.net/jobs/p/yjn5CJOBguvz-Internal-Auditor-Life-Chemicals-Group-Cairo-Egypt?o=129&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
129,Finance & Banking Coordinator,Cairo,Egypt,Turning Point for Consultancies and Development,Part Time | Freelance / Project,Experienced,5 - 20 Yrs of Exp,Banking | Banks | Finance | Financial | Financial Analysis | Financial Institutions | Accounting | English,https://wuzzuf.net/jobs/p/0unjwQEejHND-Finance-Banking-Coordinator-Turning-Point-for-Consultancies-and-Development-Cairo-Egypt?o=130&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
130,Junior Underwriter - Giza,Dokki,Giza,Arope Insurance,Full Time,Entry Level,0 - 1 Yrs of Exp,Accounting | Business Administration | Writing | Insurance | Underwriting | English | Arabic,https://wuzzuf.net/jobs/p/JP24wyNiRAWC-Junior-Underwriter---Giza-Arope-Insurance-Giza-Egypt?o=131&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
131,Senior Market Research,Giza,Egypt,Nahdet Misr Publishing Group,Full Time,Experienced,2 - 4 Yrs of Exp,Marketing | Market Research | E-Marketing | Marketing Research | Research | Online Marketing | Economics | English,https://wuzzuf.net/jobs/p/HpoQ3zuqRQEo-Senior-Market-Research-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=132&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
132,Sales Coordinator,Giza,Giza,Abudawood Group Egypt,Full Time,Entry Level,0 - 2 Yrs of Exp,Accounting | Budgeting | Finance | Microsoft Office | Administration | Communication | Sales,https://wuzzuf.net/jobs/p/AIsuOXn8QRjY-Sales-Coordinator-Abudawood-Group-Egypt-Giza-Egypt?o=133&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
133,Formulation Specialist,Salam City,Cairo,Heliopolis University,Full Time,Experienced,3 - 5 Yrs of Exp,Formulation | Pharmaceutical | R&D | Research | Pharmacy | Analysis | Science,https://wuzzuf.net/jobs/p/P7TzLLTC98rU-Formulation-Specialist-Heliopolis-University-Cairo-Egypt?o=134&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
134,Senior Full Stack Developer,Nasr City,Cairo,3S Software,Full Time,Experienced,5 - 7 Yrs of Exp,MySQL | Angular | Computer Science | CSS | .Net | HTML | HTML5,https://wuzzuf.net/jobs/p/bOgpU9xN5F06-Senior-Full-Stack-Developer-3S-Software-Cairo-Egypt?o=135&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
135,E- Commerce Specialist,Katameya,Cairo,LG Electronics,Full Time,Experienced,3 - 7 Yrs of Exp,E-Marketing | Google Analytics | Management | SEO | Social Media | Commerce | Business Administration,https://wuzzuf.net/jobs/p/UYcoRkDM5mEk-E--Commerce-Specialist-LG-Electronics-Cairo-Egypt?o=136&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
136,Financial Planning & Analysis Section Head,Helwan,Cairo,Confidential,Full Time,Senior Management,5 - 7 Yrs of Exp,Accounting | Financial Planning | Financial | Financial Analysis | Financial Management | Planning | Finance | Reporting,https://wuzzuf.net/jobs/p/XvbORIIdW8l6-Financial-Planning-Analysis-Section-Head-Cairo-Egypt?o=137&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
137,Accounting Supervisor,Suez,Egypt,Confidential,Full Time,Manager,5 - 6 Yrs of Exp,Accounting | Accounting Supervisor | Commerce | Communication | Computer Skills | excel | Finance | Financial Analysis,https://wuzzuf.net/jobs/p/t0uwV8M1534c-Accounting-Supervisor-Suez-Egypt?o=138&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
138,AML & Underwriting Specialist,Smart Village,Giza,Fawry Banking & Payment Technology Services,Full Time,Entry Level,1 - 2 Yrs of Exp,Underwriting | AML | KYC | Reporting | Microsoft Excel | Access skills | Accounting | Auditing,https://wuzzuf.net/jobs/p/g3QRUGyVH62W-AML-Underwriting-Specialist-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=139&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
139,Research Software Development Engineer,Maadi,Cairo,TensorGraph,Full Time,Experienced,2 - 4 Yrs of Exp,Development | Computer Science | Software Development | Software | NodeJS | Software Engineering | Information Technology (IT),https://wuzzuf.net/jobs/p/bcodR5Fpewkv-Research-Software-Development-Engineer-TensorGraph-Cairo-Egypt?o=140&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
140,GIS Specialist,Smart Village,Giza,Fawry Banking & Payment Technology Services,Full Time,Entry Level,1 - 3 Yrs of Exp,Information Technology (IT) | GIS | Sales | Sales Target | Excel | English | Geographic Information System,https://wuzzuf.net/jobs/p/OKMc6Q3Wm0WR-GIS-Specialist-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=141&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
141,Promotion Category Manager,Giza,Egypt,Nahdet Misr Publishing Group,Full Time,Manager,10 - 12 Yrs of Exp,Sales | Sales Target | Sales Field | Sales Management | Sales Skills,https://wuzzuf.net/jobs/p/wPbh74W3QGeH-Promotion-Category-Manager-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=142&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
142,Senior Product Manager,Maadi,Cairo,almentor,Full Time,Experienced,4 - 5 Yrs of Exp,Product Management | Business Analysis | SQL | Computer Engineering | Computer Science | Communication skills | Design,https://wuzzuf.net/jobs/p/N9uXYVRed55x-Senior-Product-Manager-almentor-Cairo-Egypt?o=143&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
143,Research Coordinator,Sheikh Zayed,Giza,Nile University,Full Time,Experienced,2 - 4 Yrs of Exp,University Ranking | Education | Administration | English | Engineering | Research | Market Research | Marketing,https://wuzzuf.net/jobs/p/DPnZraKscQrv-Research-Coordinator-Nile-University-Giza-Egypt?o=144&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
144,Machine Translation Engineer,Giza,Egypt,Future Group,Full Time | Work From Home,Experienced,4+ Yrs of Exp,English | Localization | Machine Learning | Machine Translation | Natural Language Processing | Software Development | Python,https://wuzzuf.net/jobs/p/ZfMbp8Qpkepo-Machine-Translation-Engineer-Future-Group-Giza-Egypt?o=145&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
145,Senior Java Developer,Dokki,Giza,RDI,Full Time,Experienced,2+ Yrs of Exp,Java | Spring Framework | Java EE | OOD | Linux | Spring | Spring Boot | REST API,https://wuzzuf.net/jobs/p/a1tmPjY3HwDT-Senior-Java-Developer-RDI-Giza-Egypt?o=146&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
146,Senior Flutter Developer,Tanta,Gharbia,Arab Apps,Full Time,Experienced,4 - 5 Yrs of Exp,Engineering | Git | Flutter | Information Technology (IT) | HTML5 | CSS3 | Computer Science | Java,https://wuzzuf.net/jobs/p/jiCy6jD3gQfj-Senior-Flutter-Developer-Arab-Apps-Gharbia-Egypt?o=147&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
147,Junior .Net Developer- Cairo,Nasr City,Cairo,Z2 Data,Full Time,Entry Level,0 - 1 Yrs of Exp,Software Development | Web Development | ASP.Net | .Net | C# | Computer Science | Information Technology (IT),https://wuzzuf.net/jobs/p/QRwDya4dRL80-Junior-Net-Developer--Cairo-Z2-Data-Cairo-Egypt?o=148&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
148,Google Expert,Sheikh Zayed,Giza,3Now,Full Time,Experienced,3+ Yrs of Exp,google expert | Google Ads | Google Analytics | Marketing | SEO | google | Analysis | AdWords,https://wuzzuf.net/jobs/p/5DNu0IvRfuU3-Google-Expert-3Now-Giza-Egypt?o=149&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
149,Junior .Net Developer- Banha,Banha,Qalubia,Z2 Data,Full Time,Entry Level,0 - 1 Yrs of Exp,.Net | ASP.Net | C# | Computer Science | Information Technology (IT) | JavaScript | MVC,https://wuzzuf.net/jobs/p/KghFTtgXJfbJ-Junior-Net-Developer--Banha-Z2-Data-Qalubia-Egypt?o=150&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
150,Product Manager,Giza,Egypt,Future Group,Full Time | Work From Home,Manager,3 - 5 Yrs of Exp,business | Information Technology (IT) | Market Research | JIRA | Product Management | Marketing | Product Owner,https://wuzzuf.net/jobs/p/tmfFIS9gWEAm-Product-Manager-Future-Group-Giza-Egypt?o=151&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
